Ticker,Returns_multiple,RS_Rating
MAR,0.9673353421568006,64.01590457256461
MMC,0.7382497283161524,23.856858846918488
MLM,0.9676604229391972,64.21471172962227
MAS,0.7733270992402735,31.01391650099404
MA,0.9920066248892309,66.79920477137176
MTCH,0.8935398018701071,50.29821073558648
MKC,0.684790504699968,16.50099403578529
MCD,0.8903129766762066,49.30417495029821
MCK,1.1420661827596215,83.1013916500994
MDT,0.9252162811628561,57.25646123260437
MRK,0.5990401436829149,7.157057654075547
META,1.2269491405409465,89.26441351888667
MET,0.8718475365766589,45.92445328031809
MTD,0.7772444871995963,32.60437375745527
MGM,0.8007469468057563,35.984095427435385
MCHP,0.7260252121518724,21.868787276341948
MU,1.5153175696072563,95.82504970178927
MSFT,0.9931250101792652,67.19681908548708
MAA,0.7449435242053714,25.24850894632207
MRNA,0.29075160473787937,0.3976143141153081
MHK,0.7437756828901095,24.85089463220676
MOH,0.4211415985479854,1.1928429423459244
TAP,0.7368444464379184,23.26043737574553
MDLZ,0.7236312992847724,21.272365805168985
MPWR,0.8395337383349408,40.75546719681908
MNST,1.0916221824512042,79.52286282306163
MCO,0.8933326336157104,50.09940357852882
MS,1.3542889328722376,93.04174950298211
MOS,1.1446968971484595,83.30019880715706
MSI,0.9245370577644451,56.85884691848907
MSCI,0.8692211433311613,45.72564612326044
NDAQ,1.0857880490577614,78.92644135188867
NTAP,0.8909144825634308,49.50298210735586
NFLX,1.4310155850992892,94.83101391650099
NEM,1.2788569378100616,90.65606361829026
NWSA,0.9578899186722016,62.02783300198808
NWS,1.0059491071729452,68.98608349900597
NEE,0.7140509028453779,19.681908548707753
NKE,0.7770634141199325,32.40556660039761
NI,0.9989459029068725,67.9920477137177
NDSN,0.7578497488498032,28.230616302186878
NSC,0.9725692138065397,64.41351888667992
NTRS,1.235500237200656,89.66202783300199
NOC,0.9539219032297211,61.0337972166998
NCLH,1.0908280083745414,79.32405566600397
NRG,1.728212129496444,98.40954274353876
NUE,0.8616652280816687,44.53280318091451
NVDA,1.275225839839305,90.4572564612326
NVR,0.7293254408981791,22.067594433399602
NXPI,0.8120572830729108,36.97813121272366
ORLY,1.1810140542596714,87.47514910536779
OXY,0.7890651103888416,33.99602385685885
ODFL,0.6404912788751903,9.542743538767395
OMC,0.6641508351977276,13.12127236580517
ON,0.584728365097775,6.163021868787276
OKE,0.6765532738552615,15.50695825049702
